group,team,rating
A,Qatar,1439
A,Ecuador,1464
A,Senegal,1584
A,Netherlands,1694
B,England,1728
B,IR Iran,1564
B,USA,1627
B,Wales,1569
C,Argentina,1773
C,Saudi Arabia,1437
C,Mexico,1644
C,Poland,1548
D,France,1759
D,Denmark,1666
D,Tunisia,1507
D,Australia,1488
E,Spain,1715
E,Germany,1650
E,Japan,1559
E,Costa Rica,1503
F,Belgium,1816
F,Canada,1475
F,Morocco,1563
F,Croatia,1645
G,Brazil,1841
G,Serbia,1563
G,Switzerland,1635
G,Cameroon,1471
H,Portugal,1676
H,Ghana,1393
H,Uruguay,1638
H,Korea Republic,1530